gist class,Top-Level,Rigidity (Phil),Rigidity (Pel),Rigidity (Dylan),Rigidity (Rebecca),Rigidity(consensus),Provides Identity (Phil),Provides Identity (Pel),Provides Identity (Dylan),Provides Identity (Will),Provides Identity (Rebecca),Provides Identity (consensus),inherits identity from,UFO stereotype the class belongs to,Intital Agreement?,Notes
gist:GovernmentOrganization,No,Rigid,Anti-rigid,Semi-rigid,,Anti-rigid,inherited,no,no,inherits from superclass,yes,,,Subkind,FALSE,
gist:HistoricalEvent,No,Anti-rigid,Anti-rigid,Anti-rigid,Anti-rigid,Anti-rigid,,no,no,,yes,,,,FALSE,
gist:ID,No,Anti-rigid,Anti-rigid,Anti-rigid,Rigid,Anti-rigid,yes,no,no,yes,yes,,,Quality  ??,FALSE,
gist:IntellectualProperty,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,,yes,yes,yes,,,,,FALSE,
gist:Intention,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,,yes,no,no,,,,Mode,FALSE,
gist:IntergovernmentalOrganization,No,,Anti-rigid,Semi-rigid,,Anti-rigid,inherited,no,no,inherits from superclass,yes,,,,FALSE,
gist:KnowledgeConcept,No,,,,Anti-rigid,,,,,inherits from superclass,,,,,,
gist:Landmark,No,,,Anti-rigid,,Anti-rigid,inherited,no,no,yes,yes,,,Kind,FALSE,
gist:Language,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,,yes,yes,yes,yes,yes,,Kind,FALSE,
gist:LivingThing,No,Rigid,Rigid,Rigid,Rigid,Rigid,inherited,no,no,yes,yes,,,Category,FALSE,
gist:Magnitude,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,yes,yes,yes,yes,yes,,Mode ??,TRUE,
gist:MediaType,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,inherits from superclass,yes,,,,FALSE,
gist:Medium,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,inherits from superclass,,,,,FALSE,
gist:Message,No,Anti-rigid,Semi-rigid,Rigid,Semi-rigid,Semi-rigid,yes,no,no,inherits from superclass,,,,Subkind,FALSE,"Revisit skos:example, is a phone call/conversation a series of messages? "
gist:Network,No,Rigid,Rigid,Rigid,Rigid,Rigid,,yes,yes,yes,,,,,FALSE,
gist:NetworkLink,No,Rigid,Rigid,Rigid,Rigid,Rigid,yes,no,yes,yes,,,,,FALSE,
